Time (Sec);S4;S11;S14;S17;S45;S46;S47;S48;S6;S73;S75;S76;S77;S78;S79;S80;S81;S82;S83;S84;S85;S86;
0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
1.0266666666666666;100.0;100.0;99.9963392;99.9963392;99.9963392;99.9963392;99.9963392;100.0;100.0;100.0;100.0;100.0;100.0;99.9963392;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
2.0266666666666673;100.0;100.0;99.9963392;99.9963392;99.9963392;99.9963392;99.9963392;100.0;100.0;100.0;100.0;100.0;100.0;99.9963392;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
3.026666666666668;100.0;100.0;99.9963392;99.9963392;99.9963392;99.9963392;99.9963392;100.0;100.0;100.0;100.0;100.0;100.0;99.9963392;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
4.026666666666668;100.0;100.0;99.97550719999998;99.97550719999998;99.97207519999998;99.97207519999998;99.97207519999998;99.98627199999999;99.996568;99.99313599999999;100.0;99.99313599999999;100.0;99.97207519999998;100.0;100.0;99.99313599999999;99.98970399999999;99.98627199999999;99.99313599999999;99.99313599999999;99.97940799999998;
5.026666666666666;100.0;100.0;99.97550719999998;99.97550719999998;99.97207519999998;99.97207519999998;99.97207519999998;99.98627199999999;99.996568;99.99313599999999;100.0;99.99313599999999;100.0;99.97207519999998;100.0;100.0;99.99313599999999;99.98970399999999;99.98627199999999;99.99313599999999;99.99313599999999;99.97940799999998;
6.0000000000000036;100.0;99.9999;99.97540719999998;99.97540719999998;99.97197519999997;99.97197519999997;99.97197519999997;99.98617199999998;99.996468;99.99303599999999;99.9999;99.99303599999999;99.9999;99.97197519999997;99.9999;99.9999;99.99303599999999;99.98960399999999;99.98617199999998;99.99303599999999;99.99303599999999;99.97930799999997;
7.026666666666664;100.0;99.9999;99.97540719999998;99.97540719999998;99.97197519999997;99.97197519999997;99.97197519999997;99.98617199999998;99.996468;99.99303599999999;99.9999;99.99303599999999;99.9999;99.97197519999997;99.9999;99.9999;99.99303599999999;99.98960399999999;99.98617199999998;99.99303599999999;99.99303599999999;99.97930799999997;
8.02666666666666;100.0;99.9999;99.97540719999998;99.97540719999998;99.97197519999997;99.97197519999997;99.97197519999997;99.98617199999998;99.996468;99.99303599999999;99.9999;99.99303599999999;99.9999;99.97197519999997;99.9999;99.9999;99.99303599999999;99.98960399999999;99.98617199999998;99.99303599999999;99.99303599999999;99.97930799999997;
9.026666666666662;100.0;99.9999;99.97540719999998;99.97540719999998;99.97197519999997;99.97197519999997;99.97197519999997;99.98617199999998;99.996468;99.99303599999999;99.9999;99.99303599999999;99.9999;99.97197519999997;99.9999;99.9999;99.99303599999999;99.98960399999999;99.98617199999998;99.99303599999999;99.99303599999999;99.97930799999997;
10.026666666666664;100.0;99.98617199999998;99.97540719999998;99.97197519999997;99.95138319999995;99.95138319999995;99.96167919999996;99.96533999999997;99.98297359999998;99.96877199999997;99.98273999999998;99.96877199999997;99.98960399999999;99.96511119999997;99.98273999999998;99.98296879999998;99.97243279999998;99.96900079999998;99.96190799999997;99.97563599999998;99.97220399999998;99.95161199999995;
11.026666666666666;100.0;99.98617199999998;99.97540719999998;99.97197519999997;99.95138319999995;99.95138319999995;99.96167919999996;99.96533999999997;99.98297359999998;99.96877199999997;99.98273999999998;99.96877199999997;99.98960399999999;99.96511119999997;99.98273999999998;99.98296879999998;99.97243279999998;99.96900079999998;99.96190799999997;99.97563599999998;99.97220399999998;99.95161199999995;
